0 1 2 3 4
100 462964 385324 395118 383004
200 423797 423848 395587 357652
300 417012 403193 366000 428960
400 601388 532499 398956 411408
500 503024 531948 433898 399615
600 598406 582098 420514 429903
700 553025 695249 439555 463932
800 758102 772637 458243 422114
900 708653 695153 504099 433898
1000 813110 772228 433918 447826
2000 1206083 1150896 587673 581535
3000 1699079 1690250 806769 806003
4000 2116819 2087339 1102208 954915
5000 2374813 2473354 1389218 1358981
6000 3632825 3187025 1731774 1835652
7000 4300521 3664689 2446373 2132089
8000 4252335 4065375 2161632 2214352
9000 4459856 4235694 2645449 2942496
10000 5711734 6170211 3663412 2841068
20000 8839353 9628510 6816969 7501120
30000 12460891 12759184 22489407 22799295
40000 22027214 18424335 18454199 19151258
